Feature,Importance
emp_length,0.097980425
home_ownership_MORTGAGE,0.08227045
purpose_credit_card,0.052261032
purpose_debt_consolidation,0.049063943
grade_B,0.04720489
home_ownership_OWN,0.045391727
grade_C,0.03753498
home_ownership_RENT,0.036993902
grade_F,0.033884216
grade_D,0.033159614
delinq_2yrs,0.030945804
purpose_other,0.030245425
purpose_home_improvement,0.028491866
grade_E,0.0248973
int_rate,0.022056192
term,0.020073568
grade_G,0.014806335
purpose_major_purchase,0.012816186
fico_avg,0.011286363
addr_state_AZ,0.01037699
addr_state_CA,0.010134836
addr_state_MO,0.010110444
addr_state_LA,0.009801178
addr_state_MD,0.009551788
addr_state_MA,0.009474897
addr_state_OK,0.009465923
addr_state_AL,0.0091314055
addr_state_TN,0.009067272
addr_state_VA,0.008870819
purpose_medical,0.00865113
addr_state_MN,0.0085809855
purpose_small_business,0.008566063
addr_state_NV,0.008459891
addr_state_MI,0.008433541
addr_state_AR,0.008422459
addr_state_TX,0.008173825
addr_state_NC,0.008098169
addr_state_NY,0.008019536
addr_state_NJ,0.007987199
addr_state_WI,0.007979333
addr_state_PA,0.007821974
addr_state_FL,0.0077286516
addr_state_IN,0.0076810187
purpose_moving,0.0075278305
addr_state_OH,0.006736216
addr_state_KY,0.0066996976
addr_state_NM,0.006660536
addr_state_GA,0.0065527647
addr_state_CO,0.0065424433
dti,0.006203868
addr_state_IL,0.006200372
addr_state_WA,0.0056457045
addr_state_CT,0.0055372086
addr_state_MS,0.0054997406
purpose_vacation,0.0032152655
annual_inc,0.0030761675
loan_amnt,0.0016732735
addr_state_NE,0.00014149834
purpose_educational,0.00013382662
addr_state_ID,0.0
addr_state_HI,0.0
addr_state_VT,0.0
addr_state_ME,0.0
addr_state_IA,0.0
addr_state_UT,0.0
addr_state_SD,0.0
addr_state_DE,0.0
addr_state_DC,0.0
addr_state_KS,0.0
addr_state_ND,0.0
addr_state_NH,0.0
purpose_renewable_energy,0.0
purpose_wedding,0.0
addr_state_MT,0.0
home_ownership_OTHER,0.0
purpose_house,0.0
home_ownership_NONE,0.0
addr_state_OR,0.0
addr_state_RI,0.0
addr_state_SC,0.0
addr_state_WV,0.0
addr_state_WY,0.0
